"code_region","code_state","name_state","natalidade","obitos"
1,11,"Rondônia",26513,7602
1,12,"Acre",16700,3293
1,13,"Amazonas",77434,14847
1,14,"Roraima",10601,1783
1,15,"Pará",137837,33898
1,16,"Amapá",14895,2601
1,17,"Tocantins",24395,6642
2,21,"Maranhão",116039,28838
2,22,"Piauí",47962,17449
2,23,"Ceará",126868,48712
2,24,"Rio Grande do Norte",46993,17923
2,25,"Paraíba",56770,25168
2,26,"Pernambuco",141382,57132
2,27,"Alagoas",52510,18376
2,28,"Sergipe",34108,11837
2,29,"Bahia",209999,80311
3,31,"Minas Gerais",260544,125074
3,32,"Espírito Santo",52835,21616
3,33,"Rio de Janeiro",222859,126261
3,35,"São Paulo",616608,270432
4,41,"Paraná",153945,68637
4,42,"Santa Catarina",88772,35435
4,43,"Rio Grande do Sul",138941,79456
5,50,"Mato Grosso do Sul",42252,14634
5,51,"Mato Grosso",51256,15901
5,52,"Goiás",93274,36000
5,53,"Distrito Federal",43497,11308
