 População Residente - Brasil
População residente por Unidade da Federação
Período:2012
"Unidade da Federação";"População_residente"
"11 Rondônia";1590011
"12 Acre";758786
"13 Amazonas";3590985
"14 Roraima";469524
"15 Pará";7822205
"16 Amapá";698602
"17 Tocantins";1417694
"21 Maranhão";6714314
"22 Piauí";3160748
"23 Ceará";8606005
"24 Rio Grande do Norte";3228198
"25 Paraíba";3815171
"26 Pernambuco";8931028
"27 Alagoas";3165472
"28 Sergipe";2110867
"29 Bahia";14175341
"31 Minas Gerais";19855332
"32 Espírito Santo";3578067
"33 Rio de Janeiro";16231365
"35 São Paulo";41901219
"41 Paraná";10577755
"42 Santa Catarina";6383286
"43 Rio Grande do Sul";10770603
"50 Mato Grosso do Sul";2505088
"51 Mato Grosso";3115336
"52 Goiás";6154996
"53 Distrito Federal";2648532
"Total";193976530
 Fontes:
 
 1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
 1996: IBGE - Contagem Populacional
 1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
 2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 
 estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes da metodologia.
